Date|Reading
04-26|Colossians 1-4; Philemon
04-27|Philippians 1-4
04-28|1 Timothy 1-6
04-29|Titus 1-3; 2 Timothy 1-4
04-30|1 Peter 1-5
05-01|Hebrews 1-4
05-02|Hebrews 5-7
05-03|Hebrews 8-10
05-04|Hebrews 11-13
05-05|2 Peter 1-3; Jude
05-06|1 John 1-5
05-07|2 John; 3 John; Revelation 1-3
05-08|Revelation 4-8
05-09|Revelation 9-12
05-10|Revelation 13-16
05-11|Revelation 17-19
05-12|Revelation 20-22
05-13|Psalms 113; 116; 120; 122; 124; 129
05-14|Ecclesiastes 1-4
05-15|Ecclesiastes 5-8
05-16|Ecclesiastes 9-12
05-17|1 Kings 4:20-28; 7:23-51; 2 Chronicles 4:1-5:1
05-18|1 Kings 8:1-53; 2 Chronicles 5:2-6:42
05-19|1 Kings 8:54-9:23; 2 Chronicles 7:1-8:10
05-20|1 Kings 10:14-29; 2 Chronicles 9:13-28; 1 Kings 11:1-40; Psalms 81
05-21|2 Chronicles 1:14-17; 1 Kings 4:21-28; 10:22; 2 Chronicles 9:21; 1 Kings 10:1-13; 2 Chronicles 9:1-12; Psalm 47
05-22|Psalms 111; 112; 144
05-23|2 Kings 14:15-22; 15:1-7; 2 Chronicles 25:25-26:23
05-24|Amos 1-4
05-25|Amos 5-9
05-26|Jonah 1-4; 2 Kings 14:23-29
05-27|Isaiah 1-4
05-28|Isaiah 5; Psalms 10; 19
05-29|Isaiah 6-8; Micah 1-3
